Survived,Pclass,Age,SibSp,Parch,Sex_male,Embarked_Q,Embarked_S,Fare
0,3,-0.5657364610748746,1,0,True,False,True,-0.6980495202875059
1,3,-0.2583370877897099,0,0,False,False,True,-0.6711005192381383
0,3,0.4333115021019107,0,0,True,False,True,-0.6661886915187014
0,3,-0.10463740114712752,0,0,True,True,False,-0.650310759863776
1,3,-0.1814872444684187,0,2,False,False,True,-0.5520924058780091
1,2,-1.180535207645204,1,0,False,False,False,-0.043905391315074586
0,3,-0.719436147717457,0,0,True,False,True,-0.6661886915187014
0,3,0.7407108753870755,1,5,True,False,True,-0.018886545041789236
0,3,-1.180535207645204,0,0,False,False,True,-0.6738933183922385
1,2,-0.10463740114712752,0,0,True,False,True,-0.48885332594949793
0,3,0.12591212881674602,1,0,False,False,True,-0.336868512980911
1,3,-0.10463740114712752,0,0,False,False,False,-0.6990617142133403
0,2,0.4333115021019107,0,0,True,False,True,-0.13343972446932736
1,2,0.35646165878061953,0,0,True,False,True,-0.48885332594949793
1,3,-1.1036853643239128,0,0,False,True,False,-0.667004348203669
1,3,0.6638610320657843,1,5,False,False,True,-0.016580865408456914
0,3,-0.10463740114712752,0,0,True,False,False,-0.6990617142133403
1,3,-0.10463740114712752,0,0,False,True,False,-0.6729062694386528
0,3,-0.10463740114712752,0,0,True,False,True,-0.6722514067526496
0,1,0.8175607187083667,0,0,True,False,False,-0.09460964391169462
1,3,-0.10463740114712752,0,0,False,True,False,-0.678017863723328
1,3,-0.10463740114712752,0,0,True,False,False,-0.698891594014948
0,3,-0.6425863043961658,0,0,True,False,True,-0.6661886915187014
0,3,-0.8731358343600393,2,0,False,False,True,-0.336868512980911
1,3,-1.180535207645204,1,0,False,False,False,-0.5483086512652872
0,3,0.8175607187083667,1,0,False,False,True,-0.6118354183772159
0,2,-0.1814872444684187,1,0,False,False,True,-0.25565799127691086
0,3,-0.10463740114712752,0,0,True,False,False,-0.6722514067526496
1,3,-0.7962859910387481,0,0,False,True,False,-0.6729062694386528
0,3,-0.10463740114712752,0,0,True,False,True,-0.6661886915187014
0,3,-0.10463740114712752,1,0,True,True,False,-0.40997627134177794
1,3,-0.10463740114712752,0,0,False,True,False,-0.678017863723328
0,3,-0.10463740114712752,2,0,True,False,False,-0.2381528076223815
0,3,-0.8731358343600393,1,0,False,False,True,-0.3425244244832668
0,3,-0.6425863043961658,0,0,True,False,True,-0.6760365921462963
1,2,-0.027787557825836348,1,0,False,False,True,-0.13343972446932736
1,2,-0.6425863043961658,0,0,False,False,True,-0.5744888624391277
0,3,-0.06621247948648194,0,0,True,False,False,-0.698891594014948
0,3,-0.5657364610748746,0,0,True,False,False,-0.698891594014948
0,1,-0.10463740114712752,0,0,True,False,False,-0.09460964391169462
1,3,-0.10463740114712752,1,1,True,False,False,-0.41771823139277753
1,2,-0.027787557825836348,0,0,False,False,True,-0.5744888624391277
0,3,-0.7962859910387481,0,0,True,False,True,-0.6619525036245701
1,3,-0.9499856776813305,4,2,False,False,True,-0.6711005192381383
0,3,-0.2583370877897099,2,0,True,False,True,-0.6424634308988143
0,2,0.20276197213803718,0,0,True,False,True,-0.5744888624391277
0,3,-0.2583370877897099,1,0,True,False,False,-0.4422186058323405
0,3,-0.33518693111100106,0,0,True,False,True,-0.6819922222184549
0,3,-0.10463740114712752,0,0,True,False,True,-0.6722514067526496
0,3,-0.10463740114712752,0,0,True,False,True,-0.6661886915187014
1,3,0.04906228549545483,0,0,False,False,True,-0.506238545325596
0,3,-0.5657364610748746,0,0,True,False,True,-0.6296269317976475
1,3,-0.027787557825836348,0,0,True,False,True,-0.6109077341303716
1,3,-0.10463740114712752,0,0,False,True,False,-0.6765315421523658
1,2,-0.9499856776813305,0,0,False,False,True,-0.5744888624391277
1,3,0.27961181545932834,3,0,False,False,True,-0.3994137470293589
0,3,-0.10463740114712752,0,0,True,False,True,-0.6661886915187014
0,3,-0.41203677443229225,0,0,True,False,True,-0.6661886915187014
0,3,-0.027787557825836348,0,0,True,False,True,-0.6661886915187014
0,3,-0.719436147717457,0,0,True,False,True,-0.6738933183922385
0,3,-0.2583370877897099,1,2,True,False,True,-0.26676955761586085
0,3,-0.10463740114712752,0,0,True,False,True,-0.6661886915187014
1,2,0.35646165878061953,0,1,False,False,True,-0.20496460452249643
0,2,0.35646165878061953,1,0,True,False,True,-0.13343972446932736
0,3,-0.10463740114712752,0,0,False,False,True,-0.6722514067526496
0,3,-0.10463740114712752,0,0,True,False,True,-0.6722514067526496
0,3,0.27961181545932834,0,0,True,False,True,-0.6427811990027725
0,3,0.5870111887444931,2,0,True,False,True,-0.6711005192381383
0,3,-0.10463740114712752,0,0,True,False,True,-0.6722514067526496
1,3,-0.6425863043961658,0,0,False,False,True,-0.6819922222184549
1,3,-0.10463740114712752,0,0,True,False,True,-0.6770267372552597
0,3,0.6638610320657843,0,0,True,False,True,-0.6722514067526496
1,3,-0.10463740114712752,1,0,False,True,False,-0.1769388193328974
0,3,-1.1421102859845584,1,0,False,False,False,-0.4422186058323405
0,3,-0.5657364610748746,0,0,True,False,True,-0.6661886915187014
0,3,-0.719436147717457,1,0,False,False,True,-0.5989255055634324
0,3,-0.9499856776813305,0,0,False,False,False,-0.44209014996387275
0,3,-0.6425863043961658,0,0,True,False,True,-0.6711005192381383
0,2,-0.027787557825836348,1,0,True,False,True,-0.25565799127691086
0,3,-0.10463740114712752,0,0,True,False,True,-0.6661886915187014
0,2,0.24118689379868277,1,0,True,False,False,-0.043905391315074586
1,2,0.24118689379868277,0,0,False,False,True,-0.48885332594949793
0,3,-0.10463740114712752,0,0,True,True,False,-0.678017863723328
1,3,-0.41203677443229225,0,0,True,False,True,-0.7024417577447234
1,3,-0.10463740114712752,1,1,False,False,False,-0.22095130231790025
0,3,0.27961181545932834,0,0,True,False,False,-0.6722514067526496
0,3,-0.719436147717457,0,0,True,False,True,-0.7061759047319852
1,2,-0.027787557825836348,1,0,False,False,True,-0.13343972446932736
0,2,-0.33518693111100106,0,0,True,False,True,-0.48885332594949793
0,2,-0.48888661775358344,0,0,True,False,False,-0.42385187911462846
1,1,-0.7962859910387481,0,2,False,False,True,-0.12694243874450623
0,3,-1.0268355210026217,0,0,True,False,True,-0.6214709724495084
0,3,-0.10463740114712752,0,2,False,False,False,-0.41771823139277753
1,3,-0.5657364610748746,0,0,False,False,True,-0.678017863723328
1,3,-0.41203677443229225,1,0,False,False,True,-0.3994137470293589
0,3,-0.7962859910387481,0,0,True,True,False,-0.7184906607291145
0,2,-0.8731358343600393,0,0,True,False,True,-0.539349850398837
1,3,-0.1814872444684187,0,0,True,False,True,-0.6762028680223068
0,2,0.5485862670838475,0,2,True,False,True,-0.13343972446932736
0,3,0.8559856403690123,0,2,True,False,True,-0.4407845963052069
0,3,-0.10463740114712752,0,0,True,False,True,-0.6955235087667127
1,3,-1.0268355210026217,0,0,False,True,False,-0.6786804838954653
0,3,0.04906228549545483,0,0,True,False,True,-0.6661886915187014
0,3,-0.10463740114712752,0,0,True,False,True,-0.6424634308988143
1,2,0.8175607187083667,0,0,False,False,True,-0.40242024394092196
0,3,-0.2583370877897099,0,0,True,False,True,-0.6770267372552597
0,3,-0.9499856776813305,0,0,True,False,True,-0.6424634308988143
